loss;miou;set
0.615462064743042;0.39;train
0.5997638702392578;0.46;train
0.5519659519195557;0.47;train
0.5663215517997742;0.48;train
0.5707165598869324;0.49;train
0.6112935543060303;0.5;train
0.49287986755371094;0.51;train
0.5424797534942627;0.51;train
0.6087325811386108;0.51;train
0.548811674118042;0.52;train
0.5600390434265137;0.52;train
0.5149600505828857;0.52;train
0.5824907422065735;0.53;train
0.47404247522354126;0.53;train
0.4913139343261719;0.53;train
0.484132319688797;0.53;train
0.5324514508247375;0.53;train
0.5297669768333435;0.53;train
0.5856413841247559;0.54;train
0.5045573711395264;0.54;train
0.5276884436607361;0.54;train
0.45832279324531555;0.54;train
0.46212300658226013;0.54;train
0.48632580041885376;0.54;train
0.48086267709732056;0.55;train
0.5022366046905518;0.55;train
0.4852595031261444;0.55;train
0.5292109847068787;0.55;train
0.47905397415161133;0.55;train
0.4606006145477295;0.55;train
0.5272842049598694;0.55;train
0.49477845430374146;0.55;train
0.5191971659660339;0.55;train
0.5125861167907715;0.55;train
0.526681125164032;0.56;train
0.43823808431625366;0.55;train
0.4500557482242584;0.56;train
0.507079005241394;0.56;train
0.4635187089443207;0.56;train
0.5401676893234253;0.56;train
0.6549302935600281;0.44;val
0.7205115556716919;0.46;val
0.6054372191429138;0.5;val
0.5054356455802917;0.5;val
0.5003741383552551;0.52;val
0.474543035030365;0.52;val
0.5280671119689941;0.49;val
0.4844541549682617;0.51;val
0.5362725257873535;0.53;val
0.5779488682746887;0.52;val
0.5532208681106567;0.53;val
0.5450461506843567;0.52;val
0.5162955522537231;0.53;val
0.5839819312095642;0.54;val
0.4912869930267334;0.53;val
0.510351836681366;0.53;val
0.5364890694618225;0.54;val
0.5681636333465576;0.53;val
0.5020912289619446;0.53;val
0.5223186016082764;0.53;val
